1,419
2,380
3,456
4,484
5,452
6,575
7,604
8,545
9,411
10,575
11,509
12,511
13,509
14,494
15,591
16,476
17,512
18,667
19,439
20,539
21,495
22,588
23,417
24,627
25,587
26,678
27,593
28,543
29,514
30,399
31,574
32,628
33,564
34,549
35,519
36,529
37,544
38,559
39,499
40,463
41,602
42,585
43,510
44,583
45,583
46,662
47,681
48,567
49,496
50,510
51,773
52,615
53,843
54,825
55,811
56,980
57,695
58,755
59,371
60,657
61,829
62,998
63,894
64,1148
65,1077
66,1101
67,1676
68,1396
69,1556
70,1177
71,1537
72,2314
73,2149
74,1764
75,1871
76,3785
77,1645
78,3196
79,3164
80,3472
81,3199
82,4431
83,4657
84,5951
85,6043
86,4872
87,7418
88,6480
89,7972
90,8614
91,10791
92,11345
93,9985
94,11859
95,10654
96,15753
97,13247
98,21833
99,19205
100,27276
